COUNT;HORN RULES (filtered)
1/72;mellom 20 og 30 & Nord Amerika & kvinne ---> modell
1/72;yngre enn 20 & Afrika & kvinne ---> frisør
1/72;yngre enn 20 & Europa & kvinne ---> Tromsø
1/72;yngre enn 20 & Sør Amerika & kvinne ---> frisør
1/72;Ålesund & Nord Amerika & kvinne & mellom 40 og 50 ---> frisør
1/72;Ålesund & eldre enn 60 ---> kvinne
1/72;Ålesund & kvinne & mellom 50 og 60 ---> Nord Amerika
1/72;Ålesund & kvinne & mellom 50 og 60 ---> modell
1/72;Bodø & Australia & kvinne & eldre enn 60 ---> FALSE
1/72;Kristiansand & Australia & kvinne & mellom 50 og 60 ---> FALSE
1/72;Oslo & Sør Amerika & kvinne & mellom 40 og 50 ---> FALSE
1/72;Tromsø & Australia & kvinne & mellom 40 og 50 ---> FALSE
1/72;mellom 30 og 40 & Bodø & Nord Amerika & kvinne ---> FALSE
